customer_id,user_age,household_size,income_bracket,tenure_months,subscription_tier,billing_cycle,auto_renew_enabled,customer_acquisition_channel,primary_device,days_since_last_login,avg_watch_time_hours,content_completion_rate,payment_failures,support_tickets,support_resolution_time_days
USER_0024691,27,1,High,77,Standard,Annual,Yes,Organic,Smart TV,0,46.6,0.54,0,0,0
USER_0066640,60,1,Medium,48,Standard,Monthly,Yes,Organic,Web,16,17.5,0.71,0,0,0
USER_0135537,38,3,Medium,7,Basic,Monthly,Yes,Social_Ads,Smart TV,4,58.7,1.0,0,0,0
USER_0063429,59,3,Medium,81,Basic,Monthly,Yes,Social_Ads,Smart TV,24,61.0,0.79,0,0,0
USER_0135167,21,4,Medium,3,Premium,Annual,Yes,Referral,Smart TV,5,85.5,0.53,0,0,0
USER_0131603,27,1,Medium,4,Standard,Monthly,Yes,Social_Ads,Smart TV,4,54.3,0.54,0,0,0
USER_0081466,26,1,Medium,20,Basic,Monthly,Yes,Referral,Smart TV,6,49.7,0.62,1,0,0
USER_0047397,55,1,Medium,44,Standard,Monthly,Yes,Social_Ads,Smart TV,0,54.4,0.45,0,0,0
USER_0107401,23,2,Medium,2,Basic,Monthly,No,Social_Ads,Smart TV,4,85.1,0.39,0,2,0
USER_0093052,22,2,High,75,Basic,Annual,Yes,Organic,Smart TV,9,50.1,0.62,0,0,0
USER_0128051,18,6,High,2,Basic,Monthly,No,Social_Ads,Smart TV,0,103.2,0.72,0,2,0
USER_0107963,18,4,High,8,Premium,Annual,Yes,Social_Ads,Smart TV,0,95.3,0.34,0,0,0
USER_0087334,26,4,Low,80,Basic,Monthly,No,Organic,Web,0,76.0,0.45,0,0,0
USER_0128403,25,1,Medium,6,Basic,Monthly,No,Promo_Code,Mobile,10,9.2,0.72,0,0,0
USER_0071077,40,2,Medium,16,Basic,Monthly,Yes,Organic,Console,6,22.6,0.32,0,0,0
USER_0151207,36,2,High,7,Basic,Monthly,Yes,Organic,Smart TV,3,61.7,0.81,0,0,0
USER_0107147,26,1,Low,2,Premium,Annual,Yes,Social_Ads,Console,2,18.4,0.23,0,1,0
USER_0051336,33,3,Medium,30,Standard,Monthly,Yes,Organic,Smart TV,4,74.6,0.5,0,0,0
USER_0147038,18,1,Medium,10,Basic,Monthly,Yes,Referral,Smart TV,11,58.8,0.77,0,1,0
USER_0098133,28,4,Medium,63,Standard,Annual,Yes,Referral,Web,5,67.8,0.58,0,0,0
USER_0119208,22,5,Medium,8,Standard,Monthly,Yes,Organic,Smart TV,5,97.6,0.64,1,0,0
USER_0021177,44,5,Low,73,Basic,Monthly,Yes,Organic,Console,14,86.5,0.44,0,0,0
USER_0074655,19,1,Medium,46,Basic,Monthly,Yes,Organic,Smart TV,14,59.9,0.7,0,0,0
USER_0140422,21,1,Medium,4,Basic,Annual,Yes,Referral,Smart TV,5,28.8,0.61,0,1,0
USER_0068070,33,4,Medium,74,Standard,Monthly,Yes,Social_Ads,Smart TV,7,94.6,0.8,0,0,0
USER_0125385,18,1,Medium,11,Basic,Monthly,No,Organic,Smart TV,6,59.9,0.93,0,1,0
USER_0003283,36,2,Medium,41,Standard,Monthly,Yes,Organic,Web,12,52.5,0.47,0,0,0
USER_0122704,61,1,Medium,6,Basic,Monthly,No,Referral,Smart TV,14,68.2,0.42,0,1,0
USER_0071408,64,1,High,29,Basic,Monthly,Yes,Promo_Code,Smart TV,7,56.4,0.75,0,0,0
USER_0136750,22,4,Low,2,Basic,Annual,Yes,Social_Ads,Web,5,66.4,0.55,0,0,0
USER_0062179,39,1,Medium,66,Premium,Monthly,No,Referral,Smart TV,17,56.7,0.39,0,0,0
