customer_id,user_age,household_size,income_bracket,tenure_months,subscription_tier,billing_cycle,auto_renew_enabled,customer_acquisition_channel,primary_device,days_since_last_login,avg_watch_time_hours,content_completion_rate,payment_failures,support_tickets,support_resolution_time_days,churn
USER_0000001,36,3,Medium,55,Premium,Monthly,Yes,Social_Ads,Mobile,7,50.3,0.47,0,0,0,0
USER_0000002,32,4,Medium,58,Standard,Monthly,Yes,Organic,Web,26,69.7,0.83,0,1,0,0
USER_0000003,37,3,High,58,Standard,Monthly,No,Social_Ads,Mobile,3,47.3,0.29,0,0,0,1
USER_0000004,27,1,Low,1,Basic,Monthly,No,Organic,Mobile,10,28.9,0.69,0,2,0,1
USER_0000005,37,3,Low,1,Standard,Monthly,Yes,Social_Ads,Smart TV,5,63.7,0.57,0,0,0,0
USER_0000006,20,2,Medium,40,Standard,Annual,Yes,Social_Ads,Smart TV,15,36.8,0.55,0,0,0,0
USER_0000007,28,1,High,10,Basic,Monthly,Yes,Organic,Smart TV,5,50.2,0.53,0,0,0,0
USER_0000008,26,1,High,64,Standard,Monthly,Yes,Organic,Smart TV,10,52.0,0.43,0,0,0,1
USER_0000009,30,2,Low,59,Basic,Monthly,Yes,Organic,Mobile,14,19.5,0.64,0,0,0,0
USER_0000010,42,3,Medium,24,Standard,Monthly,Yes,Organic,Smart TV,2,43.2,0.75,0,0,0,0
USER_0000011,38,6,High,9,Premium,Monthly,Yes,Organic,Mobile,11,75.9,0.71,0,0,0,0
USER_0000012,48,5,Medium,34,Standard,Monthly,Yes,Promo_Code,Smart TV,0,71.2,0.64,0,0,0,0
USER_0000013,34,2,High,6,Standard,Monthly,Yes,Organic,Web,15,29.0,0.28,0,0,0,1
USER_0000014,34,3,Low,21,Standard,Monthly,Yes,Social_Ads,Smart TV,3,50.7,0.18,0,0,0,0
USER_0000015,39,2,Low,2,Standard,Monthly,Yes,Organic,Mobile,4,48.9,0.56,0,1,0,1
USER_0000016,43,2,Low,3,Standard,Monthly,Yes,Social_Ads,Mobile,9,13.1,0.49,0,0,0,1
USER_0000017,22,1,Low,8,Premium,Monthly,Yes,Organic,Smart TV,1,47.3,0.9,0,0,0,0
USER_0000018,48,2,Low,1,Standard,Monthly,Yes,Organic,Mobile,1,50.6,0.84,0,0,0,0
USER_0000019,25,3,Low,55,Basic,Monthly,Yes,Social_Ads,Console,0,50.4,0.55,0,0,0,0
USER_0000020,19,2,Medium,71,Basic,Monthly,No,Social_Ads,Web,3,56.4,0.38,0,0,0,0
USER_0000021,30,4,High,22,Standard,Monthly,No,Social_Ads,Mobile,6,49.6,0.65,0,0,0,1
USER_0000022,18,1,Medium,68,Standard,Annual,Yes,Referral,Mobile,24,27.2,0.54,0,0,0,0
USER_0000023,23,1,High,61,Premium,Monthly,Yes,Organic,Web,11,32.6,0.39,0,0,0,1
USER_0000024,41,3,Low,27,Basic,Monthly,Yes,Organic,Mobile,16,23.9,0.69,0,0,0,0
USER_0000025,38,1,High,12,Premium,Annual,Yes,Promo_Code,Smart TV,16,55.1,0.79,0,0,0,0
USER_0000026,50,1,Medium,32,Standard,Annual,Yes,Social_Ads,Smart TV,7,58.1,0.31,0,0,0,0
USER_0000027,32,5,Medium,31,Basic,Monthly,Yes,Promo_Code,Smart TV,0,74.0,0.2,0,0,0,1
USER_0000028,25,3,Medium,3,Standard,Monthly,No,Promo_Code,Smart TV,1,76.2,0.41,1,0,0,1
USER_0000029,43,2,Medium,30,Standard,Annual,Yes,Promo_Code,Mobile,1,49.8,0.78,0,0,0,1
USER_0000030,35,2,Medium,68,Premium,Monthly,No,Organic,Smart TV,0,58.6,0.71,0,2,0,0
USER_0000031,29,3,Low,47,Standard,Monthly,No,Promo_Code,Smart TV,16,106.1,0.29,0,0,0,1
USER_0000032,35,4,High,28,Basic,Monthly,Yes,Organic,Smart TV,1,76.7,0.72,0,0,0,1
USER_0000033,42,4,Low,40,Standard,Monthly,Yes,Social_Ads,Smart TV,0,95.0,0.65,0,0,0,0
USER_0000034,58,4,Medium,28,Basic,Monthly,Yes,Social_Ads,Web,6,60.4,0.59,0,0,0,0
USER_0000035,43,1,Low,29,Basic,Monthly,Yes,Organic,Mobile,24,41.0,0.43,0,0,0,0
USER_0000036,26,2,Low,53,Standard,Monthly,Yes,Organic,Mobile,3,11.8,0.25,0,0,0,0
USER_0000037,30,2,High,48,Basic,Monthly,No,Promo_Code,Mobile,5,26.4,0.55,0,0,0,0
USER_0000038,20,2,Low,69,Standard,Monthly,Yes,Organic,Mobile,3,48.1,0.69,0,0,0,0
USER_0000039,18,5,High,21,Premium,Monthly,No,Social_Ads,Web,9,71.2,0.3,0,0,0,1
USER_0000040,31,2,Medium,55,Standard,Annual,Yes,Organic,Mobile,3,27.7,0.78,0,0,0,0
USER_0000041,38,2,High,60,Basic,Monthly,No,Organic,Smart TV,5,60.5,0.67,0,0,0,0
USER_0000042,36,1,Low,60,Basic,Monthly,No,Social_Ads,Web,8,58.8,0.77,0,0,0,1
USER_0000043,26,2,Medium,33,Premium,Monthly,Yes,Organic,Smart TV,4,77.2,0.93,0,0,0,0
USER_0000044,42,1,High,40,Basic,Monthly,No,Organic,Web,4,29.5,0.86,0,0,0,0
USER_0000045,53,3,Medium,18,Standard,Monthly,Yes,Promo_Code,Smart TV,9,67.3,0.62,0,0,0,0
USER_0000046,41,2,Low,43,Basic,Monthly,No,Social_Ads,Smart TV,21,57.5,0.52,0,0,0,1
USER_0000047,38,4,Low,47,Basic,Monthly,Yes,Promo_Code,Smart TV,0,74.1,0.24,0,0,0,0
USER_0000048,52,3,Medium,33,Standard,Monthly,No,Organic,Smart TV,3,63.7,0.74,0,0,0,1
USER_0000049,59,2,Low,27,Premium,Monthly,Yes,Promo_Code,Mobile,12,42.9,0.76,0,0,0,0
USER_0000050,41,1,Medium,42,Standard,Monthly,Yes,Promo_Code,Console,1,27.0,0.39,0,0,0,0
USER_0000051,50,6,Medium,60,Premium,Annual,Yes,Social_Ads,Smart TV,6,93.0,0.82,0,0,0,0
USER_0000052,43,4,Medium,28,Basic,Monthly,Yes,Social_Ads,Smart TV,8,83.3,0.67,0,0,0,0
USER_0000053,47,1,Low,18,Standard,Annual,Yes,Organic,Smart TV,6,30.4,0.6,0,1,0,1
USER_0000054,19,2,Low,58,Basic,Annual,Yes,Social_Ads,Mobile,17,32.9,0.83,1,1,0,1
USER_0000055,33,4,Medium,3,Standard,Monthly,No,Social_Ads,Console,2,54.7,0.67,0,0,0,0
USER_0000056,46,2,Medium,36,Basic,Monthly,Yes,Referral,Smart TV,24,72.2,0.72,0,1,0,1
USER_0000057,18,4,Low,61,Basic,Monthly,Yes,Promo_Code,Mobile,10,52.5,0.46,0,0,0,0
USER_0000058,30,2,Medium,22,Basic,Monthly,No,Organic,Smart TV,5,47.1,0.29,0,0,0,1
USER_0000059,40,2,High,41,Standard,Monthly,No,Social_Ads,Mobile,1,60.5,0.6,0,1,0,1
USER_0000060,22,3,Low,22,Standard,Monthly,Yes,Referral,Mobile,1,39.1,0.89,0,0,0,0
USER_0000061,18,4,Low,41,Standard,Monthly,No,Social_Ads,Mobile,3,18.7,0.63,0,0,0,0
USER_0000062,42,4,Medium,15,Premium,Monthly,Yes,Promo_Code,Mobile,4,56.4,0.65,0,1,0,0
USER_0000063,35,2,Medium,24,Standard,Monthly,No,Promo_Code,Web,9,59.6,0.81,0,0,0,1
USER_0000064,51,2,Low,54,Standard,Monthly,Yes,Promo_Code,Smart TV,13,61.8,0.58,0,0,0,1
USER_0000065,43,4,High,26,Basic,Monthly,Yes,Organic,Smart TV,1,73.6,0.38,0,0,0,1
USER_0000066,51,2,Low,56,Basic,Monthly,No,Referral,Smart TV,2,71.5,0.78,0,0,0,1
USER_0000067,23,3,Medium,69,Standard,Monthly,Yes,Promo_Code,Web,0,47.1,0.85,0,0,0,0
USER_0000068,56,6,Low,43,Premium,Monthly,Yes,Social_Ads,Console,0,73.7,0.31,0,0,0,0
USER_0000069,18,1,High,10,Standard,Annual,Yes,Social_Ads,Mobile,5,23.2,0.63,0,1,0,0
USER_0000070,29,1,Low,62,Premium,Monthly,Yes,Promo_Code,Smart TV,4,55.1,0.62,0,0,0,1
